 	Area	X	Y	Slice
539	175	513.220	159.700	23
540	250	566.184	172.588	23
541	165	148.500	185.500	23
542	197	304.510	201.480	23
543	174	112.420	207.753	23
544	185	392.841	227.619	23
545	197	184.099	251.754	23
546	187	379.013	255.880	23
547	174	615.172	256.362	23
548	147	318.112	269.949	23
549	154	115.234	280.922	23
550	175	528.791	285.014	23
551	245	490.345	357.508	23
552	226	304.748	362.381	23
553	218	412.927	364.472	23
554	144	183.167	366.667	23
555	167	596.213	385.404	23
556	171	107.939	398.746	23
557	214	213.009	67.168	24
558	261	494.305	77.653	24
559	234	290.624	80.068	24
560	233	397.981	102.607	24
561	191	67.798	116.987	24
562	158	604.500	119.000	24
563	186	513.226	159.882	24
564	251	566.189	172.620	24
565	165	148.500	185.500	24
566	200	304.615	201.420	24
567	174	112.420	207.753	24
568	211	393.661	227.491	24
569	197	184.099	251.754	24
570	192	379.167	256.021	24
571	174	615.172	256.362	24
572	147	318.112	269.949	24
573	154	115.234	280.922	24
574	175	528.791	285.014	24
575	245	490.345	357.508	24
576	226	304.748	362.381	24
577	251	412.432	364.687	24
578	151	183.394	366.778	24
579	167	596.213	385.404	24
580	177	107.703	398.771	24
581	206	213.117	67.442	25
582	261	494.305	77.653	25
583	228	290.601	80.281	25
584	233	397.981	102.607	25
585	190	67.500	117.000	25
586	158	604.500	119.000	25
587	175	513.220	159.700	25
588	251	566.189	172.620	25
589	165	148.500	185.500	25
590	197	304.510	201.480	25
591	174	112.420	207.753	25
592	185	392.841	227.619	25
593	181	183.599	251.732	25
594	187	379.013	255.880	25
595	174	615.172	256.362	25
596	147	318.112	269.949	25
597	154	115.234	280.922	25
598	175	528.791	285.014	25
599	245	490.345	357.508	25
600	226	304.748	362.381	25
601	218	412.927	364.472	25
602	144	183.167	366.667	25
603	167	596.213	385.404	25
604	180	108.178	398.850	25
605	206	213.117	67.442	26
606	261	494.305	77.653	26
607	207	291.085	79.785	26
608	233	397.981	102.607	26
609	190	67.500	117.000	26
610	158	604.500	119.000	26
611	179	513.394	159.718	26
612	251	566.189	172.620	26
613	165	148.500	185.500	26
614	197	304.510	201.480	26
615	174	112.420	207.753	26
616	185	392.841	227.619	26
617	181	183.599	251.732	26
618	187	379.013	255.880	26
619	174	615.172	256.362	26
620	147	318.112	269.949	26
621	154	115.234	280.922	26
622	175	528.791	285.014	26
623	245	490.345	357.508	26
624	226	304.748	362.381	26
625	218	412.927	364.472	26
626	151	183.394	366.778	26
627	167	596.213	385.404	26
628	180	108.178	398.850	26
629	206	213.117	67.442	27
630	261	494.305	77.653	27
631	207	291.085	79.785	27
632	233	397.981	102.607	27
633	192	67.448	116.927	27
634	158	604.500	119.000	27
635	179	513.394	159.718	27
636	250	566.184	172.588	27
637	165	148.500	185.500	27
638	197	304.510	201.480	27
639	174	112.420	207.753	27
640	185	392.841	227.619	27
641	181	183.599	251.732	27
642	187	379.013	255.880	27
643	174	615.172	256.362	27
644	147	318.112	269.949	27
645	154	115.234	280.922	27
646	175	528.791	285.014	27
647	245	490.345	357.508	27
648	226	304.748	362.381	27
649	218	412.927	364.472	27
650	151	183.394	366.778	27
651	167	596.213	385.404	27
652	178	108.197	398.635	27
653	166	212.753	66.102	28
654	256	494.379	77.520	28
655	171	292.056	79.026	28
656	216	398.477	102.616	28
657	190	67.500	117.000	28
658	121	603.640	119.178	28
659	171	513.167	159.833	28
660	241	565.861	172.454	28
661	162	148.444	185.389	28
662	183	304.505	201.702	28
663	164	112.738	207.927	28
664	173	392.829	227.627	28
665	174	183.828	251.845	28
666	208	379.663	256.019	28
667	156	615.615	256.231	28
668	144	318.000	270.000	28
669	142	115.458	280.627	28
670	156	529.224	284.910	28
671	222	491.000	357.365	28
672	215	304.658	362.109	28
673	193	412.298	365.199	28
674	144	183.167	366.667	28
675	161	596.370	385.252	28
676	176	108.148	398.710	28
677	166	212.753	66.102	29
678	256	494.379	77.520	29
679	171	292.056	79.026	29
680	216	398.477	102.616	29
681	196	67.276	116.898	29
682	121	603.640	119.178	29
683	171	513.167	159.833	29
684	241	565.861	172.454	29
685	162	148.444	185.389	29
686	183	304.505	201.702	29
687	164	112.738	207.927	29
688	173	392.829	227.627	29
689	174	183.828	251.845	29
690	208	379.663	256.019	29
691	156	615.615	256.231	29
692	144	318.000	270.000	29
693	142	115.458	280.627	29
694	156	529.224	284.910	29
695	222	491.000	357.365	29
696	215	304.658	362.109	29
697	193	412.298	365.199	29
698	144	183.167	366.667	29
699	161	596.370	385.252	29
700	176	108.148	398.710	29
701	166	212.753	66.102	30
702	256	494.379	77.520	30
703	171	292.056	79.026	30
704	216	398.477	102.616	30
705	196	67.276	116.898	30
706	121	603.640	119.178	30
707	171	513.167	159.833	30
708	234	566.038	172.346	30
709	162	148.444	185.389	30
710	183	304.505	201.702	30
711	164	112.738	207.927	30
712	173	392.829	227.627	30
713	174	183.828	251.845	30
714	208	379.663	256.019	30
715	156	615.615	256.231	30
716	144	318.000	270.000	30
717	142	115.458	280.627	30
718	156	529.224	284.910	30
719	222	491.000	357.365	30
720	156	304.135	360.327	30
721	193	412.298	365.199	30
722	144	183.167	366.667	30
723	161	596.370	385.252	30
724	176	108.148	398.710	30
725	159	212.651	65.330	31
726	251	494.512	77.627	31
727	189	291.643	79.765	31
728	182	399.462	102.830	31
729	164	66.061	116.366	31
730	131	604.332	119.149	31
731	152	515.289	160.605	31
732	235	565.683	172.594	31
733	162	148.444	185.389	31
734	184	304.647	201.353	31
735	164	112.738	207.927	31
736	236	394.496	227.131	31
737	174	183.828	251.845	31
738	151	378.606	255.778	31
739	159	615.670	256.349	31
740	142	318.099	269.725	31
741	144	115.500	280.715	31
742	167	528.781	285.015	31
743	171	492.114	356.746	31
744	160	303.244	359.931	31
745	164	411.829	366.000	31
746	144	183.167	366.667	31
747	164	596.500	385.220	31
748	154	108.922	398.266	31
749	156	212.769	65.385	32
750	251	494.512	77.627	32
751	204	291.152	80.025	32
752	182	399.462	102.830	32
753	164	66.061	116.366	32
754	135	604.144	119.159	32
755	152	515.289	160.605	32
756	235	565.683	172.594	32
757	162	148.444	185.389	32
758	184	304.647	201.353	32
759	164	112.738	207.927	32
760	136	391.176	228.000	32
761	174	183.828	251.845	32
762	151	378.606	255.778	32
763	159	615.670	256.349	32
764	142	318.099	269.725	32
765	144	115.500	280.715	32
766	167	528.781	285.015	32
767	171	492.114	356.746	32
768	160	303.244	359.931	32
769	164	411.829	366.000	32
770	144	183.167	366.667	32
771	164	596.500	385.220	32
772	154	108.922	398.266	32
773	156	212.769	65.385	33
774	251	494.512	77.627	33
775	204	291.152	80.025	33
776	182	399.462	102.830	33
777	164	66.061	116.366	33
778	135	604.144	119.159	33
779	152	515.289	160.605	33
780	235	565.683	172.594	33
781	162	148.444	185.389	33
782	184	304.647	201.353	33
783	164	112.738	207.927	33
784	136	391.176	228.000	33
785	174	183.828	251.845	33
786	151	378.606	255.778	33
787	159	615.670	256.349	33
788	142	318.099	269.725	33
789	144	115.500	280.715	33
790	167	528.781	285.015	33
791	171	492.114	356.746	33
792	160	303.244	359.931	33
793	164	411.829	366.000	33
794	144	183.167	366.667	33
795	164	596.500	385.220	33
796	154	108.922	398.266	33
797	156	212.769	65.385	34
798	204	291.152	80.025	34
799	171	493.003	78.506	34
800	182	399.462	102.830	34
801	164	66.061	116.366	34
802	135	604.144	119.159	34
803	152	515.289	160.605	34
804	235	565.683	172.594	34
805	162	148.444	185.389	34
806	184	304.647	201.353	34
807	164	112.738	207.927	34
808	136	391.176	228.000	34
809	174	183.828	251.845	34
810	151	378.606	255.778	34
811	159	615.670	256.349	34
812	142	318.099	269.725	34
813	144	115.500	280.715	34
814	167	528.781	285.015	34
815	171	492.114	356.746	34
816	160	303.244	359.931	34
817	164	411.829	366.000	34
818	144	183.167	366.667	34
819	164	596.500	385.220	34
820	154	108.922	398.266	34
821	174	212.638	65.828	35
822	233	492.929	78.097	35
823	210	291.190	79.810	35
824	186	399.527	102.704	35
825	171	65.792	116.266	35
826	142	604.085	119.458	35
827	163	515.236	160.610	35
828	247	565.723	172.362	35
829	162	148.444	185.389	35
830	209	304.285	201.878	35
831	179	112.573	207.897	35
832	281	394.585	227.496	35
833	174	183.828	251.845	35
834	174	379.454	256.138	35
835	174	615.172	256.362	35
836	176	318.790	270.102	35
837	157	115.462	281.124	35
838	203	529.599	284.761	35
839	238	490.176	357.374	35
840	253	304.796	361.034	35
841	270	411.959	364.674	35
842	144	183.167	366.667	35
843	164	596.500	385.220	35
844	182	108.159	398.489	35
845	174	212.638	65.828	36
846	247	492.549	78.658	36
847	210	291.190	79.810	36
848	186	399.527	102.704	36
849	171	65.792	116.266	36
850	142	604.085	119.458	36
851	163	515.236	160.610	36
852	247	565.723	172.362	36
853	162	148.444	185.389	36
854	209	304.285	201.878	36
855	179	112.573	207.897	36
856	281	394.585	227.496	36
857	174	183.828	251.845	36
858	174	379.454	256.138	36
859	174	615.172	256.362	36
860	176	318.790	270.102	36
861	157	115.462	281.124	36
862	203	529.791	284.776	36
863	238	490.176	357.374	36
864	253	304.796	361.034	36
865	270	411.959	364.674	36
866	144	183.167	366.667	36
867	164	596.500	385.220	36
868	182	108.159	398.489	36
869	174	212.638	65.828	37
870	210	291.190	79.810	37
871	220	491.477	79.250	37
872	186	399.527	102.704	37
873	171	65.792	116.266	37
874	142	604.085	119.458	37
875	184	514.467	160.370	37
876	247	565.723	172.362	37
877	162	148.444	185.389	37
878	209	304.285	201.878	37
879	179	112.573	207.897	37
880	281	394.585	227.496	37
881	174	183.828	251.845	37
882	174	379.454	256.138	37
883	174	615.172	256.362	37
884	176	318.790	270.102	37
885	157	115.462	281.124	37
886	203	529.791	284.776	37
887	238	490.176	357.374	37
888	253	304.796	361.034	37
889	270	411.959	364.674	37
890	144	183.167	366.667	37
891	164	596.500	385.220	37
892	182	108.159	398.489	37
